isolate 	year
2|171	2003
17|CAMP2588	2005
19|CAMP3129	2006
133|Cc90-3	2001
134|CcZ163	2012
135|Cc2548	2002
136|Cc2553	2001
137|Cc2680	2002
138|Cc2685	2002
140|Cc2692	2003
141|Cc2698	2003
142|Cc84-2	2000
143|Cc80352	2000
145|Cc1091	2002
147|Cc1148	2002
148|Cc1417	2002
149|Cc132-6	2001
150|Cc1891	2003
151|Cc1909	2002
152|Cc59-2	2000
153|Cc1948	2003
154|Cc1957	2003
155|Cc1961	2003
156|Cc202/04	2005
164|Cc151-9	2001
167|CcH6	2005
168|CcH8	2005
169|CCH9	2005
170|CcH56	1995
171|CcZ156	2012
282|SS_074	2008
287|SS_127	2008
289|SS_150	2008
292|SS_160	2008
294|SS_168	2008
296|SS_193	2008
297|SS_194	2008
305|SS_219	2008
307|SS_229	2008
310|SS_253	2008
313|SS_260	2008
314|SS_294	2008
316|SS_305	2008
318|SS_309	2008
322|SS_319	2008
328|SS_062	2008
332|SS_067	2008
335|SS_073	2008
338|SS_082	2009
341|SS_090	2008
343|SS_093	2009
346|SS_106	2009
350|SS_114	2009
352|SS_118	2009
353|SS_119	2009
354|SS_122	2008
358|SS_132	2008
361|SS_142	2008
362|SS_145	2009
363|SS_146	2008
366|SS_151	2009
377|SS_176	2009
383|SS_186	2008
386|SS_189	2009
391|SS_213	2009
398|SS_234	2009
400|SS_240	2009
402|SS_246	2008
404|SS_250	2008
407|SS_255	2008
408|SS_258	2007
410|SS_261	2008
413|SS_288	2007
415|SS_290	2007
419|SS_298	2008
420|SS_299	2008
425|SS_306	2008
426|SS_308	2008
432|SS_321	2008
436|SS_026	2005
439|SS_031	2005
442|SS_034	2005
450|SS_043	2005
454|SS_047	2005
455|SS_049	2005
456|SS_051	2005
457|SS_052	2005
459|SS_054	2005
465|SS_275	2005
468|SS_281	2005
473|SS_076	2008
482|SS_097	2008
485|SS_101	2008
487|SS_103	2008
1703|SS_143	2008
1708|SS_157	2008
1716|SS_183	2008
1725|SS_205	2008
1741|SS_293	2008
1743|SS_263	2010
1746|SS_266	2011
1748|SS_268	2010
1753|SS_273	2011
1755|SS_001	2006
1767|SS_013	2006
1770|SS_018	2006
1773|SS_023	2006
1777|SS_035	2005
1783|SS_328	2006
1788|SS_334	2006
1789|SS_335	2006
1792|SS_338	2011
1797|SS_343	2005
1798|SS_344	2001
1809|SS_384	2007
1815|SS_390	2007
1816|SS_391	2007
1820|SS_395	2007
1821|SS_396	2007
1824|SS_399	2007
1825|SS_400	2008
1826|SS_401	2008
1827|SS_402	2008
1828|SS_403	2008
1852|SS_595	2012
1855|SS_614	2012
1874|OXC5348	2010
1877|OXC5353	2010
1880|OXC5363	2010
1883|OXC5370	2010
1895|OXC5386	2010
1897|OXC5391	2010
1922|OXC5677	2010
1927|OXC5685	2010
1929|OXC5688	2010
1941|OXC5705	2010
1954|OXC5486	2010
1974|OXC5629	2010
1980|OXC5635	2010
2002|OXC5837	2010
2007|OXC5842	2010
2014|OXC5849	2011
2018|OXC5853	2011
2020|OXC5855	2011
2021|OXC5856	2011
2029|OXC5864	2011
2096|OXC5723	2010
2110|OXC5742	2010
2125|OXC5763	2010
2130|OXC5768	2010
2134|OXC5773	2010
2150|OXC5796	2011
2173|OXC5810	2011
2190|OXC5827	2011
2194|OXC5831	2011
2238|OXC5922	2011
2239|OXC5923	2011
2264|C15	2006
2279|H13	1999
2311|Seal4	2011
2389|Seal55	2011
2391|Seal60	2011
2392|Seal61	2011
2393|Seal64	2011
2394|Seal66	2011
2395|Seal69	2011
2418|Seal110	2011
2423|Seal120	2011
2428|Seal129	2011
2429|Seal130	2011
2434|Seal141	2011
2440|Seal153	2011
2446|Seal171	2011
2492|OXC6559	2011
2497|OXC6568	2011
2500|OXC6576	2011
2501|OXC6577	2011
2503|OXC6253	2011
2505|OXC6258	2011
2507|OXC6263	2011
2509|OXC6267	2011
2512|OXC6276	2011
2522|OXC6296	2011
2523|OXC6297	2011
2528|OXC6308	2011
2529|OXC6309	2011
2531|OXC6312	2011
2544|OXC6337	2011
2545|OXC6338	2011
2548|OXC6343	2011
2556|OXC6371	2011
2557|OXC6372	2011
2558|OXC6376	2011
2559|OXC6378	2011
2561|OXC6380	2011
2564|OXC6385	2011
2565|OXC6386	2011
2568|OXC6400	2011
2570|OXC6416	2011
2573|OXC6424	2011
2574|OXC6426	2011
2575|OXC6428	2011
2578|OXC6447	2011
2583|OXC6460	2011
2586|OXC6471	2011
2587|OXC6472	2011
2588|OXC6474	2011
2589|OXC6476	2011
2597|OXC6504	2011
