isolate	year
26|NC_009839	2007
28|NC_003912	2005
29|NC_002163	2016
32|CampsClin11	2005
34|CampsClin262	2005
36|CampsClin266	2006
37|CampsClin883	2006
39|chick2219	2005
42|cow42	2006
45|chick594	2006
48|cow206	2006
52|cow334	2006
56|cowa45	2006
59|cow518	2006
60|CampsClin53	2005
62|cowa21	2006
63|chickc21	2006
64|chick25	2006
65|chick104	2006
66|chick353	2009
67|chickb354	2009
71|chick19	2009
72|chick50	2009
73|chick53	2009
74|chick262	2009
75|chick266	2009
77|chick1086	2009
78|chick1360	2009
79|chick11	2009
80|chick137	2009
81|chick1003	2009
84|chick2223	2009
85|cow3583	2003
87|cow273	2003
88|cow270	2003
89|cowb21	2003
90|cowb45	2003
91|cowc45	2003
92|cowd45	2003
94|cow104	2003
97|cow3201	2003
99|cow3205	2003
102|cow583	2003
103|cow3207	2003
104|cow3214	2003
105|chick354	2004
106|chick51	2005
108|chick574	2004
110|chickb21	2003
111|chickb45	2004
112|chickd45	2004
113|chick883	2004
114|chick230	2004
116|CampsClin21	2005
117|OxClina21	2003
119|OxClina45	2003
124|starling45	2013
126|goose1033	2013
128|goose137	2013
130|duck702	2013
131|duck45	2013
172|Cj129-258	2013
178|Cj60004	2013
183|Cj86605	2013
187|Cj53161	2013
190|Cj2008-894	2016
191|Cj2008-872	2016
196|Cj1997-4	2016
202|Cj110-21	2013
203|Cj87330	2013
205|Cj140-16	2013
206|Cj1213	2013
207|CjATCC43432	2013
208|Cj1798	2013
209|Cj1854	2013
210|Cj1893	2013
254|Hn129	2003
255|Hn30	2003
256|Hn39	2003
257|Hn4	2003
258|Hn123	2003
259|Hn4503	2009
260|Hn4249	2009
261|Hn4075	2009
262|Hn3817	2008
263|Hn1211	2005
264|Hn1550	2006
265|13254	1998
266|13255	1991
267|13256	1991
268|13257	1999
269|13258	1998
270|13259	1991
272|13261	1998
273|13262	1994
274|13263	1991
275|13264	1999
276|13265	1991
277|13266	1994
278|SS_060	2008
280|SS_068	2008
281|SS_069	2008
283|SS_077	2008
285|SS_092	2008
286|SS_121	2008
288|SS_133	2008
290|SS_153	2008
298|SS_199	2008
299|SS_202	2008
300|SS_204	2008
301|SS_208	2008
302|SS_210	2008
303|SS_214	2008
304|SS_216	2008
306|SS_223	2008
308|SS_242	2008
309|SS_249	2008
311|SS_256	2008
312|SS_257	2008
317|SS_307	2008
320|SS_313	2008
321|SS_315	2008
324|SS_322	2008
325|SS_002	2006
330|SS_065	2008
331|SS_066	2008
